    Finished `release` profile [optimized] target(s) in 0.17s
     Running `target/release/examples/histogram_accuracy`
# EquiDepthHistogram 1D
dist,n,buckets,p50,p95,p99,max,p95_ci_lo,p95_ci_hi
0.70,10000,32,0.2712,3.0000,10.7727,591.0000,3.3333,3.8125,26.6667
0.70,10000,64,0.1250,1.2727,5.0000,417.0000,1.5000,1.7143,20.0000
0.70,100000,16,0.6797,12.2500,41.0000,1337.0000,13.5000,14.0000,192.0000
0.70,100000,32,0.3154,3.9040,12.8095,2264.0000,4.0000,4.9565,134.5000
0.70,100000,64,0.1448,1.5152,5.6429,202.0000,1.7078,2.0000,90.0000
0.95,10000,16,0.3962,20.5000,96.0000,1570.0000,23.0000,27.0000,188.0000
0.95,10000,32,0.1774,5.0000,16.0000,992.0000,5.5714,6.3462,164.0000
0.95,10000,64,0.0794,1.7273,5.4688,265.0000,1.9730,2.0000,167.0000
0.95,100000,16,0.4320,42.9900,307.0000,7256.0000,50.0263,88.0000,1485.2500
0.95,100000,32,0.1923,7.2758,28.0000,413.3333,8.0000,8.8413,1046.0000
0.95,100000,64,0.0889,2.2913,7.2453,865.0000,2.5411,2.9697,872.0000
171.12 sec, 89004 KB
